id,title,Release Year,runtime,Budget,CPI budget,Budget Type,revenue,genres
14289,Fire Down Below,1997,105,$60000000,$75703586,High,$16228448,"Action, Thriller"
15613,Fire in the Sky,1993,109,$15000000,$14989167,Low,$19885552,"Science Fiction, Drama, Mystery"
139567,Fire with Fire,2012,97,$20000000,$28506955,Mid,$2500277,"Action, Crime, Drama, Thriller"
17927,Fired Up!,2009,90,$20000000,$91535670,High,$18599102,Comedy
7353,Fireflies in the Garden,2008,108,$8000000,$6146284,Low,$6692182,Drama
10724,Firefox,1982,136,$18000000,$8658907,Low,$70687344,"Science Fiction, Action, Adventure, Thriller"
14438,Fireproof,2008,122,$500000,$384143,Low,$33456317,Drama
532710,Firestarter,2022,94,$12000000,$4422740,Low,$15039250,"Science Fiction, Thriller, Horror"
11495,Firestarter,1984,114,$15000000,$10287760,Low,$17080167,"Horror, Thriller, Science Fiction"
41417,Firestorm,1998,89,$19000000,$36102386,Mid,$8165212,"Action, Adventure, Thriller"
9754,Firewall,2006,105,$45000000,$41144121,Mid,$82800000,"Action, Crime, Thriller"
1368,First Blood,1982,93,$15000000,$7215755,Low,$125212904,"Action, Adventure, Thriller, War"
6520,First Knight,1995,134,$55000000,$57825176,Mid,$127600435,"Action, Adventure, Drama, Romance"
118452,"First Love, Last Rites",1998,94,$300000,$570038,Low,$40542,Drama
369972,First Man,2018,141,$70000000,$84528034,High,$105713218,"History, Drama"
458737,First Reformed,2018,113,$3500000,$4226402,Low,$2525738,Drama
24469,Fish Tank,2009,123,$3000000,$13730350,Low,$2404300,Drama
15888,Fishtales,2007,94,$14000000,$14475322,Low,$9216,"Fantasy, Drama, Comedy, Romance, Family"
345922,Fist Fight,2017,91,$22000000,$30463006,Mid,$41087017,Comedy
71881,Five Corners,1987,90,$5500000,$4426827,Low,$969205,"Drama, Crime, Thriller"
527641,Five Feet Apart,2019,116,$7000000,$11393092,Low,$92600000,"Romance, Drama"
881212,Fixation,2022,101,$80000,$29485,Low,$21000,"Horror, Drama, Thriller"
3683,Flags of Our Fathers,2006,135,$90000000,$82288242,High,$65900249,"War, Drama, History"
3604,Flash Gordon,1980,111,$35000000,$7619149,Low,$27107960,"Science Fiction, Adventure, Action"
535,Flashdance,1983,95,$7000000,$6427111,Low,$201500000,"Drama, Romance"
400710,Flatliners,2017,111,$19000000,$26308960,Mid,$45158254,"Drama, Horror, Thriller"
1551,Flatliners,1990,115,$26000000,$14206794,Low,$61489265,"Drama, Science Fiction, Horror"
