Title,Release Year,Runtime,Budget,CPI Budget,Revenue,CPI budget,Budget Type,Genres
Piranha,1978,94,"660,000.00","3,262,546.01","16,000,000.00","255,104.00",Low,"Horror, Comedy, Science Fiction"
Good Guys Wear Black,1978,95,"1,000,000.00","4,943,251.53","18,300,000.00","386,521.00",Low,Action
Hooper,1978,99,"6,000,000.00","29,659,509.20","78,000,000.00","2,319,124.00",Low,"Action, Comedy"
The End,1978,100,"3,000,000.00","14,829,754.60","45,000,000.00","1,159,562.00",Low,Comedy
Heaven Can Wait,1978,101,"15,000,000.00","74,148,773.01","98,800,000.00","5,797,810.00",Low,"Fantasy, Comedy, Romance"
The Legacy,1978,102,"2,500,000.00","12,358,128.83","11,364,985.00","966,302.00",Low,Horror
Eyes of Laura Mars,1978,104,"7,000,000.00","34,602,760.74","20,000,000.00","2,705,645.00",Low,"Drama, Mystery, Thriller, Horror"
Damien: Omen II,1978,107,"6,800,000.00","33,614,110.43","26,518,355.00","2,628,341.00",Low,"Horror, Thriller"
Animal House,1978,109,"2,700,000.00","13,346,779.14","141,000,000.00","1,043,606.00",Low,Comedy
Convoy,1978,110,"12,000,000.00","59,319,018.40","45,000,000.00","4,638,248.00",Low,"Action, Comedy"
Every Which Way but Loose,1978,110,"5,000,000.00","24,716,257.67","85,196,485.00","1,932,603.00",Low,"Action, Comedy, Adventure, Romance, Drama"
